-,-,-
-53.466797, -9.521484, 940.429688
-71.533203, 5.859375, 937.500000
-64.208984, 19.531250, 946.289062
-64.697266, 15.625000, 972.656250
-84.228516, 40.039062, 990.234375
-45.654297, 24.414062, 879.394531
-66.162109, 62.500000, 882.812500
-51.513672, 13.671875, 923.828125
-48.583984, 48.339844, 841.796875
-56.396484, 28.320312, 928.710938
-41.748047, 17.578125, 865.234375
-38.330078, 11.718750, 875.976562
-12.939453, 13.671875, 898.437500
-43.212891, 33.203125, 925.781250
-13.916016, 39.062500, 887.695312
-33.447266, 50.781250, 882.812500
-51.025391, 33.203125, 992.187500
-51.513672, 20.507812, 1005.371094
-49.560547, 53.710938, 931.640625
-19.287109, 22.949219, 918.945312
-,-,-
-70.556641, 40.039062, 836.914062
-2.685547, 69.824219, 861.328125
-49.072266, 36.132812, 894.531250
16.113281, 34.179688, 964.843750
33.691406, 45.898438, 941.406250
26.367188, 0.488281, 1004.394531
39.550781, 0.976562, 1017.578125
-28.564453, -82.763672, 961.914062
19.531250, -35.888672, 1082.031250
-15.380859, -78.857422, 968.750000
-27.587891, -69.091797, 1080.078125
-19.287109, -112.060547, 1013.671875
-64.697266, -93.017578, 1051.757812
-28.076172, -143.798828, 1051.757812
-89.111328, -147.705078, 989.257812
-53.466797, -153.076172, 1062.500000
-68.603516, -148.193359, 1005.371094
-69.580078, -157.958984, 1087.890625
-39.306641, -141.845703, 1031.250000
-78.857422, -157.958984, 1069.335938
-65.185547, -141.357422, 1046.875000
-79.833984, -147.216797, 999.023438
-84.228516, -146.240234, 1098.632812
-90.087891, -131.591797, 1180.664062
-70.068359, -128.662109, 1142.578125
-,-,-
-61.767578, 138.671875, 893.554688
-85.205078, 138.671875, 923.828125
-58.349609, 118.164062, 923.828125
-28.564453, 142.089844, 919.921875
-40.283203, 132.812500, 848.632812
-29.052734, 125.976562, 868.164062
-23.681641, 124.023438, 837.890625
-15.869141, 125.000000, 948.242188
1.464844, 86.914062, 931.640625
-16.357422, 25.390625, 995.117188
4.394531, 92.773438, 926.757812
10.253906, 83.007812, 876.464844
-11.962891, 57.617188, 993.164062
-38.818359, 62.500000, 969.726562
-37.841797, 60.546875, 1035.156250
-44.677734, 89.843750, 986.328125
-40.771484, 47.363281, 1034.179688
-63.232422, -23.193359, 992.675781
-51.513672, -31.005859, 1023.437500
-79.833984, -7.568359, 1092.773438
-90.576172, -43.701172, 1092.773438
-78.857422, -24.169922, 1167.968750
-80.810547, -21.728516, 1176.757812
-102.294922, -46.142578, 1108.398438
-95.947266, -41.748047, 1127.441406
-94.482422, -50.048828, 1077.148438
-80.810547, -60.302734, 1083.984375
-54.931641, -82.763672, 1045.898438
-20.263672, -71.533203, 1025.390625
-,-,-
-55.908203, -24.658203, 1050.781250
-76.904297, -30.029297, 1103.515625
-66.162109, -18.310547, 1025.390625
-90.576172, -55.419922, 997.070312
-36.865234, 30.273438, 1012.695312
-70.068359, 7.812500, 998.046875
-22.705078, 48.339844, 984.375000
-51.025391, 24.414062, 964.843750
-34.423828, 52.734375, 975.585938
-33.447266, 17.578125, 963.867188
-48.583984, 60.546875, 966.796875
-39.794922, 54.687500, 911.132812
-23.681641, 48.828125, 940.429688
-19.775391, 104.492188, 865.234375
-18.310547, 55.664062, 965.820312
-15.380859, 132.812500, 908.203125
-54.931641, 33.203125, 963.867188
-15.380859, 92.773438, 876.464844
-76.904297, 17.578125, 936.523438
4.394531, 46.386719, 888.671875
-92.529297, -8.544922, 884.765625
-45.166016, 10.742188, 934.570312
-54.443359, -3.173828, 881.347656
-,-,-
-10.986328, 55.664062, 960.937500
28.320312, 79.101562, 956.054688
-1.708984, 85.937500, 974.609375
-3.662109, 96.191406, 952.148438
3.906250, 83.984375, 929.687500
-8.544922, 82.031250, 867.187500
4.394531, 63.476562, 889.648438
30.761719, 94.726562, 797.851562
25.390625, 75.195312, 731.445312
19.042969, 7.812500, 821.289062
20.996094, 65.429688, 783.203125
1.464844, 11.718750, 815.429688
-28.564453, 6.835938, 825.195312
-15.869141, 18.066406, 936.523438
0.488281, -53.466797, 1051.757812
-43.212891, -6.591797, 1030.273438
5.371094, -91.552734, 1068.359375
